Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.56,47.0,13,81,3.56,1.81
multidim-4,multidim-4,17.75,42.0,14,90,3.75,1.9
multidim-3,multidim-3,18.75,26.0,16,87,2.75,1.87
Hierarchical,Hierarchical,21.78,26.0,[5 3 3],100,16.78,4.0
Matrix,Matrix,24.57,12.0,23,78,1.57,1.78
multidim-2,multidim-2,24.57,12.0,23,78,1.57,1.78
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,35.0,18.0,35,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,38.0,32.0,38,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,63.0,41,0,0.0,1.0
Binary,Binary,108.55,63.0,7,100,101.55,2.0
