Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,30.77,10.0,[9 3],100,21.77,3.0
multidim-2,multidim-2,51.32,10.0,19,100,32.32,2.0
Matrix,Matrix,51.32,10.0,19,100,32.32,2.0
STD,STD,55.0,8.0,55,0,0.0,1.0
Random,Random,77.81,13.0,16,100,61.81,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,85.0,21.0,85,0,0.0,1.0
Binary,Binary,88.99,41.0,7,100,81.99,2.0
multidim-3,multidim-3,93.47,21.0,14,100,79.47,2.0
multidim-4,multidim-4,94.48,28.0,13,100,81.48,2.0
Chinese remainder,Chinese remainder,100.0,41.0,100,0,0.0,1.0
