Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,15.02,27.0,12,77,3.02,1.77
multidim-3,multidim-3,16.48,21.0,14,83,2.48,1.83
multidim-4,multidim-4,16.56,29.0,13,85,3.56,1.85
Hierarchical,Hierarchical,19.63,21.0,[4 3 3],100,15.63,4.0
Matrix,Matrix,20.5,10.0,19,75,1.5,1.75
multidim-2,multidim-2,20.5,10.0,19,75,1.5,1.75
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,25.0,17.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,34.0,42.0,34,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,42.0,41,0,0.0,1.0
Binary,Binary,59.46,42.0,7,100,52.46,2.0
