Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-3,multidim-3,10.86,9.0,9,68,1.86,1.68
Random,Random,11.11,8.0,9,62,2.11,1.62
Ch. Rm. Special,Ch. Rm. Special,12.0,9.0,12,0,0.0,1.0
Matrix,Matrix,12.14,6.0,11,57,1.14,1.57
multidim-2,multidim-2,12.14,6.0,11,57,1.14,1.57
multidim-4,multidim-4,12.26,14.0,10,68,2.26,1.68
Hierarchical,Hierarchical,13.31,9.0,[3 3],100,10.31,3.0
Binary,Binary,22.56,13.0,5,99,17.56,1.99
Ch. Rm. Bktrk,Ch. Rm. Bktrk,23.0,9.0,23,0,0.0,1.0
STD,STD,25.0,6.0,25,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,13.0,28,0,0.0,1.0
