Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,30.95,10.0,[9 3],100,21.95,3.0
multidim-2,multidim-2,50.47,10.0,19,100,31.47,2.0
Matrix,Matrix,50.47,10.0,19,100,31.47,2.0
STD,STD,55.0,8.0,55,0,0.0,1.0
Random,Random,81.92,18.0,16,100,65.92,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,85.0,21.0,85,0,0.0,1.0
Binary,Binary,89.99,42.0,7,100,82.99,2.0
multidim-3,multidim-3,94.51,21.0,14,100,80.51,2.0
multidim-4,multidim-4,95.43,29.0,13,100,82.43,2.0
Chinese remainder,Chinese remainder,100.0,42.0,100,0,0.0,1.0
