Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,14.88,29.0,13,70,1.88,1.7
multidim-4,multidim-4,15.73,36.0,13,88,2.73,1.88
multidim-3,multidim-3,15.78,25.0,14,86,1.78,1.86
Hierarchical,Hierarchical,20.47,25.0,[4 3 3],100,16.47,4.0
Matrix,Matrix,20.79,10.0,20,79,0.79,1.79
multidim-2,multidim-2,20.79,10.0,20,79,0.79,1.79
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,25.0,20.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,36.0,25.0,36,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,50.0,41,0,0.0,1.0
Binary,Binary,106.0,50.0,7,100,99.0,2.0
