Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,13.17,3.0,[6],100,7.17,2.0
multidim-2,multidim-2,13.66,5.0,9,86,4.66,1.86
Matrix,Matrix,13.66,5.0,9,86,4.66,1.86
Random,Random,14.15,4.0,9,94,5.15,1.94
multidim-3,multidim-3,19.73,9.0,8,92,11.73,1.92
STD,STD,20.0,4.0,20,0,0.0,1.0
Binary,Binary,20.85,9.0,5,99,15.85,1.99
multidim-4,multidim-4,21.88,9.0,9,94,12.88,1.94
Ch. Rm. Bktrk,Ch. Rm. Bktrk,32.0,6.0,32,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,40.0,8.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,9.0,41,0,0.0,1.0
