Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,28.85,9.0,[8 3],100,20.85,3.0
multidim-2,multidim-2,47.62,9.0,17,100,30.62,2.0
Matrix,Matrix,47.62,9.0,17,100,30.62,2.0
STD,STD,55.0,7.0,55,0,0.0,1.0
Random,Random,66.95,13.0,15,100,51.95,2.0
Binary,Binary,74.98,34.0,7,100,67.98,2.0
multidim-3,multidim-3,79.09,20.0,13,100,66.09,2.0
multidim-4,multidim-4,79.39,27.0,12,100,67.39,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,83.0,34.0,83,0,0.0,1.0
Chinese remainder,Chinese remainder,100.0,34.0,100,0,0.0,1.0
