Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,33.02,9.0,[11  3],100,22.02,3.0
multidim-2,multidim-2,51.26,10.0,20,100,31.26,2.0
Matrix,Matrix,51.26,10.0,20,100,31.26,2.0
STD,STD,55.0,9.0,55,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,89.0,20.0,89,0,0.0,1.0
Chinese remainder,Chinese remainder,100.0,50.0,100,0,0.0,1.0
Binary,Binary,106.0,50.0,7,100,99.0,2.0
multidim-4,multidim-4,112.0,36.0,13,100,99.0,2.0
multidim-3,multidim-3,113.0,25.0,14,100,99.0,2.0
Random,Random,116.0,16.0,17,100,99.0,2.0
