Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,15.95,3.0,[7],100,8.95,2.0
Random,Random,23.38,4.0,10,99,13.38,1.99
Binary,Binary,23.81,10.0,5,100,18.81,2.0
STD,STD,25.0,4.0,25,0,0.0,1.0
Matrix,Matrix,25.18,5.0,9,97,16.18,1.97
multidim-2,multidim-2,25.18,5.0,9,97,16.18,1.97
multidim-3,multidim-3,26.6,9.0,9,98,17.6,1.98
multidim-4,multidim-4,27.06,11.0,9,99,18.06,1.99
Ch. Rm. Bktrk,Ch. Rm. Bktrk,49.0,5.0,49,0,0.0,1.0
Chinese remainder,Chinese remainder,58.0,10.0,58,0,0.0,1.0
