Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,24.66,9.0,[5 3],100,19.66,3.0
STD,STD,35.0,7.0,35,0,0.0,1.0
Matrix,Matrix,42.54,7.0,14,99,28.54,1.99
multidim-2,multidim-2,42.54,7.0,14,99,28.54,1.99
Random,Random,47.43,9.0,13,100,34.43,2.0
Binary,Binary,49.97,22.0,6,100,43.97,2.0
multidim-3,multidim-3,53.46,15.0,11,100,42.46,2.0
multidim-4,multidim-4,54.24,22.0,11,100,43.24,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,70.0,9.0,70,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,22.0,77,0,0.0,1.0
