Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,19.31,7.0,14,94,5.31,1.94
Matrix,Matrix,19.31,7.0,14,94,5.31,1.94
Hierarchical,Hierarchical,20.57,9.0,[5 3],100,15.57,3.0
Random,Random,20.96,12.0,13,93,7.96,1.93
STD,STD,28.0,7.0,28,0,0.0,1.0
multidim-3,multidim-3,36.13,15.0,11,98,25.13,1.98
multidim-4,multidim-4,44.66,22.0,11,98,33.66,1.98
Ch. Rm. Bktrk,Ch. Rm. Bktrk,47.0,22.0,47,0,0.0,1.0
Binary,Binary,49.68,22.0,6,100,43.68,2.0
Chinese remainder,Chinese remainder,58.0,22.0,58,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,60.0,16.0,60,0,0.0,1.0
