Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,20.82,4.0,[10],100,10.82,2.0
Random,Random,33.92,6.0,12,100,21.92,2.0
STD,STD,35.0,5.0,35,0,0.0,1.0
multidim-2,multidim-2,35.16,6.0,12,99,23.16,1.99
Matrix,Matrix,35.16,6.0,12,99,23.16,1.99
Binary,Binary,35.96,16.0,5,100,30.96,2.0
multidim-3,multidim-3,39.55,12.0,10,100,29.55,2.0
multidim-4,multidim-4,40.21,16.0,10,100,30.21,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,60.0,11.0,60,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,16.0,77,0,0.0,1.0
