Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,9.06,4.0,8,53,1.06,1.53
Matrix,Matrix,9.06,4.0,8,53,1.06,1.53
Random,Random,9.08,5.0,7,73,2.08,1.73
multidim-3,multidim-3,9.41,8.0,8,56,1.41,1.56
Hierarchical,Hierarchical,10.64,4.0,[5],99,5.64,2.0
Ch. Rm. Special,Ch. Rm. Special,12.0,9.0,12,0,0.0,1.0
STD,STD,15.0,4.0,15,0,0.0,1.0
Binary,Binary,15.38,8.0,5,85,10.38,1.85
Ch. Rm. Bktrk,Ch. Rm. Bktrk,19.0,6.0,19,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,8.0,28,0,0.0,1.0
