Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,17.68,3.0,[8],100,9.68,2.0
STD,STD,25.0,5.0,25,0,0.0,1.0
Random,Random,25.56,4.0,11,98,14.56,1.98
Binary,Binary,27.88,12.0,5,100,22.88,2.0
multidim-2,multidim-2,28.25,5.0,10,98,18.25,1.98
Matrix,Matrix,28.25,5.0,10,98,18.25,1.98
multidim-3,multidim-3,30.78,9.0,9,99,21.78,1.99
multidim-4,multidim-4,31.22,12.0,9,99,22.22,1.99
Ch. Rm. Bktrk,Ch. Rm. Bktrk,53.0,5.0,53,0,0.0,1.0
Chinese remainder,Chinese remainder,58.0,12.0,58,0,0.0,1.0
