Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,13.51,3.0,[6],100,7.51,2.0
multidim-2,multidim-2,13.61,5.0,9,87,4.61,1.87
Matrix,Matrix,13.61,5.0,9,87,4.61,1.87
Random,Random,14.48,5.0,9,88,5.48,1.88
STD,STD,20.0,4.0,20,0,0.0,1.0
multidim-3,multidim-3,20.55,9.0,8,92,12.55,1.92
Binary,Binary,21.98,9.0,5,99,16.98,1.99
multidim-4,multidim-4,22.83,10.0,9,94,13.83,1.94
Ch. Rm. Bktrk,Ch. Rm. Bktrk,34.0,9.0,34,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,40.0,8.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,9.0,41,0,0.0,1.0
