Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,15.98,6.0,11,91,4.98,1.91
Matrix,Matrix,15.98,6.0,11,91,4.98,1.91
Hierarchical,Hierarchical,17.0,3.0,[9],100,8.0,2.0
Random,Random,17.94,5.0,11,94,6.94,1.94
STD,STD,28.0,4.0,28,0,0.0,1.0
multidim-3,multidim-3,29.4,9.0,9,96,20.4,1.96
multidim-4,multidim-4,31.29,14.0,10,97,21.29,1.97
Binary,Binary,31.6,14.0,5,100,26.6,2.0
Ch. Rm. Special,Ch. Rm. Special,40.0,8.0,40,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,40.0,7.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,14.0,41,0,0.0,1.0
