Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,20.41,3.0,[10],100,10.41,2.0
Binary,Binary,34.96,15.0,5,100,29.96,2.0
STD,STD,35.0,5.0,35,0,0.0,1.0
multidim-2,multidim-2,35.56,6.0,11,99,24.56,1.99
Matrix,Matrix,35.56,6.0,11,99,24.56,1.99
Random,Random,36.17,5.0,11,100,25.17,2.0
multidim-3,multidim-3,38.61,12.0,10,99,28.61,1.99
multidim-4,multidim-4,39.19,16.0,10,100,29.19,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,60.0,10.0,60,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,15.0,77,0,0.0,1.0
