Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,28.39,10.0,[7 3],100,21.39,3.0
multidim-2,multidim-2,49.3,9.0,17,100,32.3,2.0
Matrix,Matrix,49.3,9.0,17,100,32.3,2.0
STD,STD,55.0,6.0,55,0,0.0,1.0
Random,Random,63.44,13.0,15,100,48.44,2.0
Binary,Binary,71.97,33.0,7,100,64.97,2.0
multidim-3,multidim-3,76.06,17.0,13,100,63.06,2.0
multidim-4,multidim-4,76.34,27.0,12,100,64.34,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,79.0,22.0,79,0,0.0,1.0
Chinese remainder,Chinese remainder,100.0,33.0,100,0,0.0,1.0
