Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,24.71,10.0,19,97,5.71,1.97
Matrix,Matrix,24.71,10.0,19,97,5.71,1.97
Random,Random,25.48,20.0,16,93,9.48,1.93
Hierarchical,Hierarchical,25.84,10.0,[9 3],100,16.84,3.0
multidim-3,multidim-3,43.56,21.0,14,99,29.56,1.99
STD,STD,49.0,12.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,59.0,17.0,59,0,0.0,1.0
multidim-4,multidim-4,73.97,28.0,13,99,60.97,1.99
Chinese remainder,Chinese remainder,77.0,41.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
Binary,Binary,88.3,41.0,7,100,81.3,2.0
