Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.13,36.0,13,72,3.13,1.72
multidim-3,multidim-3,17.54,25.0,15,85,2.54,1.85
multidim-4,multidim-4,17.86,37.0,14,88,3.86,1.88
Hierarchical,Hierarchical,20.91,28.0,[4 3 3],100,16.91,4.0
Matrix,Matrix,22.59,11.0,21,80,1.59,1.8
multidim-2,multidim-2,22.59,11.0,21,80,1.59,1.8
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,25.0,22.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,36.0,28.0,36,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,55.0,41,0,0.0,1.0
Binary,Binary,88.6,55.0,7,100,81.6,2.0
