Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,18.01,3.0,[8],100,10.01,2.0
STD,STD,25.0,5.0,25,0,0.0,1.0
Random,Random,27.47,5.0,11,98,16.47,1.98
Binary,Binary,28.92,12.0,5,100,23.92,2.0
multidim-2,multidim-2,29.85,5.0,10,98,19.85,1.98
Matrix,Matrix,29.85,5.0,10,98,19.85,1.98
multidim-3,multidim-3,31.85,9.0,9,99,22.85,1.99
multidim-4,multidim-4,32.23,12.0,9,99,23.23,1.99
Ch. Rm. Bktrk,Ch. Rm. Bktrk,53.0,5.0,53,0,0.0,1.0
Chinese remainder,Chinese remainder,58.0,12.0,58,0,0.0,1.0
