Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,11.8,3.0,[5],100,6.8,2.0
multidim-2,multidim-2,12.23,4.0,8,83,4.23,1.83
Matrix,Matrix,12.23,4.0,8,83,4.23,1.83
Random,Random,12.36,4.0,9,83,3.36,1.83
multidim-3,multidim-3,16.91,7.0,8,89,8.91,1.89
Binary,Binary,17.3,7.0,4,99,13.3,1.99
STD,STD,20.0,3.0,20,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,24.0,4.0,24,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,30.0,5.0,30,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,7.0,41,0,0.0,1.0
