Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,12.78,4.0,[5],100,7.78,2.0
multidim-2,multidim-2,13.17,4.0,8,86,5.17,1.86
Matrix,Matrix,13.17,4.0,8,86,5.17,1.86
Random,Random,13.39,4.0,10,80,3.39,1.8
multidim-3,multidim-3,18.68,8.0,8,91,10.68,1.91
Binary,Binary,19.68,8.0,5,99,14.68,1.99
STD,STD,20.0,4.0,20,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,24.0,4.0,24,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,30.0,6.0,30,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,8.0,41,0,0.0,1.0
