Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.73,42.0,13,81,3.73,1.81
multidim-4,multidim-4,17.81,45.0,14,90,3.81,1.9
multidim-3,multidim-3,18.66,30.0,16,87,2.66,1.87
Hierarchical,Hierarchical,21.98,27.0,[5 3 3],100,16.98,4.0
Matrix,Matrix,24.65,12.0,23,83,1.65,1.83
multidim-2,multidim-2,24.65,12.0,23,83,1.65,1.83
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,35.0,19.0,35,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,40.0,33.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,66.0,41,0,0.0,1.0
Binary,Binary,105.4,66.0,8,100,97.4,2.0
