Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,23.58,4.0,[10],100,13.58,2.0
STD,STD,35.0,6.0,35,0,0.0,1.0
Matrix,Matrix,39.75,7.0,13,99,26.75,1.99
multidim-2,multidim-2,39.75,7.0,13,99,26.75,1.99
Random,Random,40.47,7.0,13,100,27.47,2.0
Binary,Binary,44.95,20.0,6,100,38.95,2.0
multidim-3,multidim-3,48.35,13.0,11,100,37.35,2.0
multidim-4,multidim-4,49.17,20.0,11,100,38.17,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,66.0,10.0,66,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,20.0,77,0,0.0,1.0
