Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,14.87,29.0,13,68,1.87,1.68
multidim-4,multidim-4,15.59,36.0,13,87,2.59,1.87
multidim-3,multidim-3,15.66,24.0,14,84,1.66,1.84
Hierarchical,Hierarchical,20.19,24.0,[4 3 3],100,16.19,4.0
Matrix,Matrix,20.75,10.0,20,75,0.75,1.75
multidim-2,multidim-2,20.75,10.0,20,75,0.75,1.75
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,25.0,19.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,34.0,31.0,34,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,47.0,41,0,0.0,1.0
Binary,Binary,100.0,47.0,7,100,93.0,2.0
