Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,16.11,6.0,11,91,5.11,1.91
Matrix,Matrix,16.11,6.0,11,91,5.11,1.91
Hierarchical,Hierarchical,16.65,4.0,[8],100,8.65,2.0
Random,Random,17.28,6.0,11,91,6.28,1.91
STD,STD,28.0,4.0,28,0,0.0,1.0
multidim-3,multidim-3,28.39,9.0,9,96,19.39,1.96
multidim-4,multidim-4,30.51,14.0,10,96,20.51,1.96
Binary,Binary,30.58,13.0,5,100,25.58,2.0
Ch. Rm. Special,Ch. Rm. Special,40.0,8.0,40,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,40.0,7.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,13.0,41,0,0.0,1.0
