Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-3,multidim-3,10.56,9.0,9,62,1.56,1.62
Random,Random,10.68,8.0,8,77,2.68,1.77
multidim-4,multidim-4,11.02,12.0,9,64,2.02,1.64
multidim-2,multidim-2,11.04,5.0,10,52,1.04,1.52
Matrix,Matrix,11.04,5.0,10,52,1.04,1.52
Ch. Rm. Special,Ch. Rm. Special,12.0,9.0,12,0,0.0,1.0
Hierarchical,Hierarchical,12.34,7.0,[3 3],100,9.34,3.0
STD,STD,15.0,5.0,15,0,0.0,1.0
Binary,Binary,17.11,11.0,5,97,12.11,1.97
Ch. Rm. Bktrk,Ch. Rm. Bktrk,23.0,11.0,23,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,11.0,28,0,0.0,1.0
