Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,22.97,4.0,[10],100,12.97,2.0
STD,STD,35.0,6.0,35,0,0.0,1.0
Random,Random,39.33,7.0,13,100,26.33,2.0
multidim-2,multidim-2,40.21,7.0,13,99,27.21,1.99
Matrix,Matrix,40.21,7.0,13,99,27.21,1.99
Binary,Binary,42.94,19.0,6,100,36.94,2.0
multidim-3,multidim-3,46.39,13.0,11,100,35.39,2.0
multidim-4,multidim-4,47.21,19.0,11,100,36.21,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,64.0,13.0,64,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,19.0,77,0,0.0,1.0
