Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-3,multidim-3,10.72,9.0,9,66,1.72,1.66
Random,Random,11.09,10.0,8,77,3.09,1.77
multidim-2,multidim-2,11.12,5.0,10,56,1.12,1.56
Matrix,Matrix,11.12,5.0,10,56,1.12,1.56
multidim-4,multidim-4,11.48,12.0,9,72,2.48,1.72
Ch. Rm. Special,Ch. Rm. Special,12.0,9.0,12,0,0.0,1.0
Hierarchical,Hierarchical,12.89,6.0,[4 3],100,8.89,3.0
STD,STD,15.0,5.0,15,0,0.0,1.0
Binary,Binary,20.08,12.0,5,98,15.08,1.98
Ch. Rm. Bktrk,Ch. Rm. Bktrk,23.0,12.0,23,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,12.0,28,0,0.0,1.0
