Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,16.25,6.0,11,93,5.25,1.93
Matrix,Matrix,16.25,6.0,11,93,5.25,1.93
Hierarchical,Hierarchical,17.66,4.0,[8],100,9.66,2.0
Random,Random,19.5,9.0,11,94,8.5,1.94
STD,STD,28.0,5.0,28,0,0.0,1.0
multidim-3,multidim-3,29.28,11.0,10,96,19.28,1.96
multidim-4,multidim-4,32.74,15.0,10,97,22.74,1.97
Binary,Binary,33.67,15.0,5,100,28.67,2.0
Ch. Rm. Special,Ch. Rm. Special,40.0,8.0,40,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,40.0,6.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,15.0,41,0,0.0,1.0
