Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,29.7,10.0,[8 3],100,21.7,3.0
multidim-2,multidim-2,49.36,9.0,18,100,31.36,2.0
Matrix,Matrix,49.36,9.0,18,100,31.36,2.0
STD,STD,55.0,7.0,55,0,0.0,1.0
Random,Random,68.21,14.0,16,100,52.21,2.0
Binary,Binary,80.99,37.0,7,100,73.99,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,83.0,25.0,83,0,0.0,1.0
multidim-3,multidim-3,85.03,20.0,13,100,72.03,2.0
multidim-4,multidim-4,85.45,27.0,12,100,73.45,2.0
Chinese remainder,Chinese remainder,100.0,37.0,100,0,0.0,1.0
