Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,15.11,5.0,10,91,5.11,1.91
Matrix,Matrix,15.11,5.0,10,91,5.11,1.91
Hierarchical,Hierarchical,15.88,3.0,[8],100,7.88,2.0
Random,Random,17.06,6.0,11,92,6.06,1.92
STD,STD,20.0,5.0,20,0,0.0,1.0
multidim-3,multidim-3,25.15,9.0,9,95,16.15,1.95
Binary,Binary,28.51,12.0,5,100,23.51,2.0
multidim-4,multidim-4,28.98,12.0,9,96,19.98,1.96
Ch. Rm. Bktrk,Ch. Rm. Bktrk,36.0,6.0,36,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,40.0,8.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,12.0,41,0,0.0,1.0
