Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,17.24,6.0,12,92,5.24,1.92
Matrix,Matrix,17.24,6.0,12,92,5.24,1.92
Hierarchical,Hierarchical,18.14,7.0,[5 3],100,13.14,3.0
Random,Random,18.54,7.0,12,92,6.54,1.92
STD,STD,28.0,5.0,28,0,0.0,1.0
multidim-3,multidim-3,30.17,12.0,10,96,20.17,1.96
multidim-4,multidim-4,34.82,16.0,10,97,24.82,1.97
Binary,Binary,35.71,16.0,5,100,30.71,2.0
Ch. Rm. Special,Ch. Rm. Special,40.0,8.0,40,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,41.0,16.0,41,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,16.0,41,0,0.0,1.0
