Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.62,45.0,13,80,3.62,1.8
multidim-4,multidim-4,17.76,45.0,14,89,3.76,1.89
multidim-3,multidim-3,18.7,30.0,16,88,2.7,1.88
Hierarchical,Hierarchical,21.92,26.0,[5 3 3],100,16.92,4.0
Matrix,Matrix,24.61,12.0,23,80,1.61,1.8
multidim-2,multidim-2,24.61,12.0,23,80,1.61,1.8
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,35.0,19.0,35,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,40.0,33.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,65.0,41,0,0.0,1.0
Binary,Binary,107.17,65.0,8,100,99.17,2.0
