Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,8.9,4.0,8,45,0.9,1.45
Matrix,Matrix,8.9,4.0,8,45,0.9,1.45
Random,Random,9.01,5.0,7,61,2.01,1.61
multidim-3,multidim-3,9.25,8.0,8,50,1.25,1.5
Hierarchical,Hierarchical,10.21,3.0,[5],99,5.21,2.0
Ch. Rm. Special,Ch. Rm. Special,12.0,9.0,12,0,0.0,1.0
STD,STD,15.0,3.0,15,0,0.0,1.0
Binary,Binary,15.43,8.0,4,97,11.43,1.97
Ch. Rm. Bktrk,Ch. Rm. Bktrk,19.0,5.0,19,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,8.0,28,0,0.0,1.0
