Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,14.33,5.0,9,89,5.33,1.89
Matrix,Matrix,14.33,5.0,9,89,5.33,1.89
Hierarchical,Hierarchical,14.43,3.0,[7],100,7.43,2.0
Random,Random,15.15,5.0,10,90,5.15,1.9
STD,STD,20.0,4.0,20,0,0.0,1.0
multidim-3,multidim-3,21.18,9.0,9,93,12.18,1.93
Binary,Binary,24.19,10.0,5,100,19.19,2.0
multidim-4,multidim-4,24.65,12.0,9,95,15.65,1.95
Ch. Rm. Bktrk,Ch. Rm. Bktrk,34.0,7.0,34,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,40.0,8.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,10.0,41,0,0.0,1.0
