Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,23.28,4.0,[10],100,13.28,2.0
STD,STD,35.0,6.0,35,0,0.0,1.0
Random,Random,37.97,7.0,13,100,24.97,2.0
multidim-2,multidim-2,39.54,7.0,13,99,26.54,1.99
Matrix,Matrix,39.54,7.0,13,99,26.54,1.99
Binary,Binary,43.94,19.0,6,100,37.94,2.0
multidim-3,multidim-3,47.35,13.0,11,100,36.35,2.0
multidim-4,multidim-4,48.17,19.0,11,100,37.17,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,66.0,10.0,66,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,19.0,77,0,0.0,1.0
