Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,28.72,9.0,[8 3],100,20.72,3.0
multidim-2,multidim-2,47.75,9.0,17,100,30.75,2.0
Matrix,Matrix,47.75,9.0,17,100,30.75,2.0
STD,STD,55.0,7.0,55,0,0.0,1.0
Random,Random,65.93,13.0,15,100,50.93,2.0
Binary,Binary,73.98,34.0,7,100,66.98,2.0
multidim-3,multidim-3,77.92,19.0,13,100,64.92,2.0
multidim-4,multidim-4,78.38,27.0,12,100,66.38,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,83.0,34.0,83,0,0.0,1.0
Chinese remainder,Chinese remainder,100.0,34.0,100,0,0.0,1.0
