Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,17.18,6.0,12,94,5.18,1.94
Matrix,Matrix,17.18,6.0,12,94,5.18,1.94
Hierarchical,Hierarchical,18.82,9.0,[4 3],100,14.82,3.0
Random,Random,19.87,8.0,12,93,7.87,1.93
STD,STD,28.0,5.0,28,0,0.0,1.0
multidim-3,multidim-3,33.8,12.0,10,97,23.8,1.97
multidim-4,multidim-4,38.29,18.0,10,98,28.29,1.98
Binary,Binary,39.27,17.0,6,100,33.27,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,43.0,12.0,43,0,0.0,1.0
Chinese remainder,Chinese remainder,58.0,17.0,58,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,60.0,16.0,60,0,0.0,1.0
