Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.09,36.0,13,75,3.09,1.75
multidim-3,multidim-3,17.55,25.0,15,85,2.55,1.85
multidim-4,multidim-4,17.73,39.0,14,88,3.73,1.88
Hierarchical,Hierarchical,21.19,29.0,[4 3 3],100,17.19,4.0
Matrix,Matrix,23.56,11.0,22,78,1.56,1.78
multidim-2,multidim-2,23.56,11.0,22,78,1.56,1.78
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,25.0,23.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,36.0,29.0,36,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,57.0,41,0,0.0,1.0
Binary,Binary,93.05,57.0,7,100,86.05,2.0
