Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,28.6,9.0,[8 3],100,20.6,3.0
multidim-2,multidim-2,48.3,9.0,17,100,31.3,2.0
Matrix,Matrix,48.3,9.0,17,100,31.3,2.0
STD,STD,55.0,6.0,55,0,0.0,1.0
Random,Random,64.98,13.0,15,100,49.98,2.0
Binary,Binary,72.98,33.0,7,100,65.98,2.0
multidim-3,multidim-3,76.93,18.0,13,100,63.93,2.0
multidim-4,multidim-4,77.36,27.0,12,100,65.36,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,79.0,22.0,79,0,0.0,1.0
Chinese remainder,Chinese remainder,100.0,33.0,100,0,0.0,1.0
