Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,14.77,36.0,13,68,1.77,1.68
multidim-4,multidim-4,15.69,36.0,13,88,2.69,1.88
multidim-3,multidim-3,15.75,25.0,14,86,1.75,1.86
Hierarchical,Hierarchical,20.43,25.0,[4 3 3],100,16.43,4.0
Matrix,Matrix,20.77,10.0,20,77,0.77,1.77
multidim-2,multidim-2,20.77,10.0,20,77,0.77,1.77
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,25.0,20.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,36.0,25.0,36,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,49.0,41,0,0.0,1.0
Binary,Binary,105.0,49.0,7,100,98.0,2.0
