Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,9.95,5.0,7,85,2.95,1.85
multidim-2,multidim-2,10.01,5.0,9,51,1.01,1.51
Matrix,Matrix,10.01,5.0,9,51,1.01,1.51
multidim-3,multidim-3,10.52,9.0,9,57,1.52,1.57
multidim-4,multidim-4,10.87,11.0,9,61,1.87,1.61
Hierarchical,Hierarchical,11.71,4.0,[6],99,5.71,2.0
Ch. Rm. Special,Ch. Rm. Special,12.0,9.0,12,0,0.0,1.0
STD,STD,15.0,4.0,15,0,0.0,1.0
Binary,Binary,15.68,10.0,5,96,10.68,1.96
Ch. Rm. Bktrk,Ch. Rm. Bktrk,19.0,7.0,19,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,10.0,28,0,0.0,1.0
