Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,27.13,9.0,[7 3],100,20.13,3.0
multidim-2,multidim-2,48.15,8.0,16,99,32.15,1.99
Matrix,Matrix,48.15,8.0,16,99,32.15,1.99
STD,STD,55.0,6.0,55,0,0.0,1.0
Random,Random,59.4,11.0,14,100,45.4,2.0
Binary,Binary,62.99,29.0,6,100,56.99,2.0
multidim-3,multidim-3,67.32,16.0,12,100,55.32,2.0
multidim-4,multidim-4,68.33,27.0,12,100,56.33,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,78.0,12.0,78,0,0.0,1.0
Chinese remainder,Chinese remainder,100.0,29.0,100,0,0.0,1.0
