Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,25.14,10.0,[5 3],100,20.14,3.0
STD,STD,35.0,7.0,35,0,0.0,1.0
Matrix,Matrix,42.84,7.0,14,99,28.84,1.99
multidim-2,multidim-2,42.84,7.0,14,99,28.84,1.99
Random,Random,50.68,9.0,13,100,37.68,2.0
Binary,Binary,51.97,23.0,6,100,45.97,2.0
multidim-3,multidim-3,55.55,16.0,11,100,44.55,2.0
multidim-4,multidim-4,56.29,23.0,11,100,45.29,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,70.0,10.0,70,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,23.0,77,0,0.0,1.0
