Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,15.99,40.0,13,75,2.99,1.75
multidim-4,multidim-4,16.81,36.0,13,89,3.81,1.89
multidim-3,multidim-3,17.56,25.0,15,85,2.56,1.85
Hierarchical,Hierarchical,20.76,27.0,[4 3 3],100,16.76,4.0
Matrix,Matrix,22.53,11.0,21,77,1.53,1.77
multidim-2,multidim-2,22.53,11.0,21,77,1.53,1.77
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,25.0,22.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,36.0,27.0,36,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,53.0,41,0,0.0,1.0
Binary,Binary,84.54,53.0,7,100,77.54,2.0
